1.000000 1.000000 12.000000 50.000000 1.000000 1.000000 4294967296.000000 0.000000 106.000000 -323.000000 2.000000 1.000000 3.000000 0.000000
2.000000 0.500000 16.970563 70.710678 1.424050 2.000000 8589934592.000000 2.000000 412.000000 -320.000000 16.000000 2.000000 9.000000 0.000000
3.000000 0.333333 20.784610 86.602540 1.751184 3.000000 12884901888.000000 4.754888 918.000000 -315.000000 54.000000 5.704522 27.000000 0.000000
4.000000 0.250000 24.000000 100.000000 2.027919 4.000000 17179869184.000000 8.000000 1624.000000 -308.000000 128.000000 16.000000 81.000000 0.000000
5.000000 0.200000 26.832816 111.803399 2.272347 5.000000 21474836480.000000 11.609640 2530.000000 -299.000000 250.000000 41.971848 243.000000 0.000000
6.000000 0.166667 29.393877 122.474487 2.493774 6.000000 25769803776.000000 15.509775 3636.000000 -288.000000 432.000000 102.681405 729.000000 0.000000
7.000000 0.142857 31.749016 132.287566 2.697739 7.000000 30064771072.000000 19.651484 4942.000000 -275.000000 686.000000 235.770868 2187.000000 0.000000
8.000000 0.125000 33.941125 141.421356 2.887858 8.000000 34359738368.000000 24.000000 6448.000000 -260.000000 1024.000000 512.000000 6561.000000 0.000000
9.000000 0.111111 36.000000 150.000000 3.066646 9.000000 38654705664.000000 28.529325 8154.000000 -243.000000 1458.000000 1058.954227 19683.000000 0.000000
10.000000 0.100000 37.947332 158.113883 3.235937 10.000000 42949672960.000000 33.219281 10060.000000 -224.000000 2000.000000 2098.592396 59049.000000 0.000000
11.000000 0.090909 39.799497 165.831240 3.397115 11.000000 47244640256.000000 38.053748 12166.000000 -203.000000 2662.000000 4005.223747 177147.000000 0.000000
12.000000 0.083333 41.569219 173.205081 3.551260 12.000000 51539607552.000000 43.019550 14472.000000 -180.000000 3456.000000 7393.061153 531441.000000 0.000000
13.000000 0.076923 43.266615 180.277564 3.699228 13.000000 55834574848.000000 48.105716 16978.000000 -155.000000 4394.000000 13245.861955 1594323.000000 0.000000
14.000000 0.071429 44.899889 187.082869 3.841716 14.000000 60129542144.000000 53.302969 19684.000000 -128.000000 5488.000000 23105.545058 4782969.000000 0.000000
